,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
536,0.0,881948679.3660549,0.0
537,69733212.31888567,881949761.0928878,0.005579170330608528
538,0.0,881948679.3660549,0.0
539,380709.243394385,881948713.8442339,4.069225094302568e-05
540,5872391.84407722,881949066.790832,0.00036399817461126016
541,382821.11604283785,881948713.9410397,4.1026346356585106e-05
542,65289499.7486238,881951510.2106091,0.007533586317710321
543,9232689.449027313,881949279.2733034,0.0005159725374031552
544,2511385.2806794103,881948886.8392191,0.0002132101309969536
545,118992794.942708,881950646.1150309,0.010530093709818476
546,13221998.101549542,881949301.0899267,0.0009111542502341847
547,9499249.866446096,881949194.8482231,0.0024964722066358217
548,2489144.0180852325,881948799.3842878,0.0001265268058114972
549,1175600.2264721543,881948751.8854691,7.865118681113112e-05
550,0.0,881948679.3660549,0.0
551,14754489.289556198,881950247.7109549,0.0012877259979488386
552,0.0,881948679.3660549,0.0
553,0.0,881948679.3660549,0.0
554,453235048.45455873,881953406.5880258,0.03461769157748335
555,6839397.449215486,881948996.0430629,0.0005771473697529783
556,1073551.1624652161,881948782.6492447,0.00010779509340928685
557,7811858.101693388,881949216.023716,0.0010930924931826169
558,0.0,881948679.3660549,0.0
559,7395515.540904686,881949064.9204215,0.0003808412529069027
560,0.0,881948679.3660549,0.0
561,18978508.047332417,881949999.7670776,0.005864747057414422
562,52770041.97518317,881949934.6056755,0.006729881928783472
563,1379537.9473485518,881948770.2926688,0.0001958147673049499
564,375613.767570083,881948713.6106634,3.988615351851989e-05
565,6641754.234448446,881949125.2635483,0.0012194414992104422
566,0.0,881948679.3660549,0.0
